Location,Latitudes,Longitudes
Najafgarh,28.61009129,76.98347893
NSIT Dwarka,28.61116353,77.03849601
Narela,28.85370711,77.08957105
North Campus DU,28.68816386,77.20909706
Nehru Nagar,28.57031632,77.2494167
Dwarka-Sector 8,28.57247961,77.07065084
Jahangirpuri,28.72970075,77.16614359
Jawaharlal Nehru Stadium,28.58345449,77.2342038
Vivek Vihar,28.67331551,77.31811843
Sri Aurobindo Marg,28.55653794,77.2063312
Bawana,28.79248653,77.04909695
Burari Crossing,28.72889233,77.19618836
Chandni Chowk,28.65643623,77.23227937
CRRI Mathura Road,28.55071113,77.27488485
Dr. Karni Singh Shooting Range,28.49996249,77.26711685
DTU,28.75024487,77.11754085
Alipur,28.79684101,77.13432283
Anand Vihar,28.64313592,77.32229792
Ashok Vihar,28.69162058,77.17854012
Rohini,28.7395796,77.08297726
Shadipur,28.64733153,77.16286555
Sirifort,28.55064194,77.21353635
Sonia Vihar,28.73386738,77.24743588
Wazirpur,28.70051678,77.16452184
Patparganj,28.63561882,77.30530698
Pusa,28.63810121,77.15812405
R K Puram,28.56687037,77.17648219
Okhla Phase-2,28.53395183,77.27522033
Punjabi Bagh,28.66058938,77.12370304
Aya Nagar,28.4715964,77.13276724
Mandir Marg,28.63423366,77.20028711
